date,north_area_ft2,south_area_ft2,north_volume_ft3,south_volume_ft3
2011-12-02,14254582984.553135,23360945359.706936,198868388821.09335,372859779727.1931
2011-12-03,14366539125.13624,23500589142.134224,200013737905.9248,375438685912.17706
2011-12-04,14199976511.485336,23325049811.506683,198298657638.05466,372157998027.64874
2011-12-05,14280898105.495678,23349176804.134308,199153982148.32047,372625038277.89606
2011-12-06,14183567947.38717,23300396243.36344,198154582270.4548,371691293107.7079
2011-12-07,14183567947.38717,23300396243.36344,198154582270.4548,371691293107.7079
2011-12-08,14183567947.38717,23337666975.968227,198154582270.4548,372392245968.95544
2011-12-09,14183567947.38717,23312121640.051716,198154582270.4548,371925874502.86194
2011-12-10,14183567947.38717,23312121640.051716,198154582270.4548,371925874502.86194
2011-12-11,14183567947.38717,23312121640.051716,198154582270.4548,371925874502.86194
2011-12-12,14199976511.485336,23312121640.051716,198298657638.05466,371925874502.86194
2011-12-13,14213651625.027874,23312121640.051716,198438797106.3259,371925874502.86194
2011-12-14,14254582984.553135,23325049811.506683,198868388821.09335,372157998027.64874
2011-12-15,14183567947.38717,23312121640.051716,198154582270.4548,371925874502.86194
2011-12-16,14183567947.38717,23325049811.506683,198154582270.4548,372157998027.64874
2011-12-17,14213651625.027874,23325049811.506683,198438797106.3259,372157998027.64874
2011-12-18,14323387071.93878,23360945359.706936,199581671599.25784,372859779727.1931
2011-12-19,14323387071.93878,23325049811.506683,199581671599.25784,372157998027.64874
2011-12-20,14310935092.250725,23325049811.506683,199439737425.19913,372157998027.64874
2011-12-21,14500665646.381199,23373875734.65582,201453681357.04987,373092651175.35657
2011-12-22,14631252702.548851,23462935356.899986,202912042231.39157,374735096997.9736
2011-12-23,14420035207.8004,23337666975.968227,200584791713.44055,372392245968.95544
2011-12-24,14382616278.175957,23337666975.968227,200155833029.7683,372392245968.95544
2011-12-25,14382616278.175957,23325049811.506683,200155833029.7683,372157998027.64874
2011-12-26,14408150044.921656,23337666975.968227,200442321198.14218,372392245968.95544
2011-12-27,14436402697.702435,23360945359.706936,200730805310.70755,372859779727.1931
2011-12-28,14420035207.8004,23373875734.65582,200584791713.44055,373092651175.35657
2011-12-29,14436402697.702435,23373875734.65582,200730805310.70755,373092651175.35657
2011-12-30,14489406430.86825,23373875734.65582,201310239252.69785,373092651175.35657
2011-12-31,14753124654.436613,23513836031.398445,204231626800.23798,375674903606.7437
2012-01-01,14489406430.86825,23373875734.65582,201310239252.69785,373092651175.35657
2012-01-02,14500665646.381199,23349176804.134308,201453681357.04987,372625038277.89606
2012-01-03,14516386485.910696,23349176804.134308,201600923802.68454,372625038277.89606
2012-01-04,14500665646.381199,23373875734.65582,201453681357.04987,373092651175.35657
